Sample_ID,Date,Plot_ID,PLHE_red1,PLHE_red2,PLHE_red3,PLHE_golden1,PLHE_golden2 ,PLHE_golden3,Flower_Num,FC_perc,GC_perc,Comments 
MCSP_97,7/19/2021,T7_R2_IR_F_4a,47.5,38.9,46.3,65.3,59.4,69.9,47,1.5,1,
MCSP_98,7/19/2021,T7_R2_IR_C_4c,40.6,43.6,56.9,60.3,71.3,85,27,1.5,2,
MCSP_99,7/19/2021,T7_R2_IR_N_4d,55.1,49.1,61.3,68.9,73.4,61.6,14,0.5,5,
MCSP_100,7/19/2021,T7_R6_IR_F_4b,48.7,36.6,34.1,NA,NA,NA,106,3,2.5,
MCSP_101,7/19/2021,T7_R6_IR_N_4c,31.9,44.3,48.9,51.5,60.1,60.6,16,3,4.5,
MCSP_102,7/19/2021,T7_R6_IR_C_4d,32.5,47.5,47,67.3,71.2,61.3,105,3,2.5,
MCSP_103,7/19/2021,T7_R6_VR_N_5b,47.3,37.3,70.7,55.8,74.1,71.8,26,1,2.5,
MCSP_104,7/19/2021,T7_R6_VR_F_5c,72.1,52.6,65.5,49.1,54.6,53.9,45,1.3,2,
MCSP_105,7/19/2021,T7_R6_VR_C_5d,58.5,84.5,72.3,62.4,64.6,68.5,30,1.5,4.3,
MCSP_106,7/19/2021,T7_R6_D1_N_6a,37.1,60.5,40.1,84,52.9,80.7,24,1,4,
MCSP_107,7/19/2021,T7_R6_D1_C_6c,63.3,30.1,64.3,79.1,94.5,71.2,20,0.5,3.5,
MCSP_108,7/19/2021,T7_R6_D1_F_6d,53.5,56.9,28.2,70.4,61.1,62.1,19,0.5,4,
MCSP_109,8/5/2021,T7_R5_D1_F_1a,49.9,94.1,75.6,59.4,53.9,65.9,41,2,0.5,
MCSP_110,8/5/2021,T7_R5_D1_C_1c,67.5,81.1,65.1,64.8,63.3,64.1,41,1.5,1,
MCSP_111,8/5/2021,T7_R5_D1_N_1d,73.5,69.5,69.6,86.6,81.6,55.1,31,1.5,0.5,
MCSP_112,8/5/2021,T7_R5_IR_N_2b,52.1,61.5,68.9,97.6,47.9,108,70,2,0,
